idQuestion,libelle,reponse,erreur1,erreur2,erreur3,url,type
389,"* * est une commune française, sous-préfecture du département du Pas-de-* *, dans la région du Nord-Pas-de-* *. Ses habitants sont appelés les * *iens.
La ville de * * est la première ville du département par sa population et sa superficie, bien qu'elle n'en soit pas le chef-lieu . Elle est également la première ville française de liaison avec l'Angleterre grâce à son port, premier port français de passagers et au tunnel sous la Manche.","Calais Frethun",Tourcoing,"Croix - Wasquehal","Lille Flandres",NULL,wikiextract
390,,Hazebrouk,Roubaix,Saint-Omer,Jeumont,NULL,wikiextract
391,"* * est une commune frontalière française, située dans le canton de Maubeuge-Nord, à 10 km ENE du chef-lieu de canton. Elle appartient au département du Nord .
Adhérente à l'intercommunalité de l'Agglomération Maubeuge Val de Sambre, la commune de * * fait également partie de l'unité urbaine de Maubeuge qui est la cinquième du département du Nord.
L'étymologie de * * viendrait de Jovis Mons, le ""Mont de Jupiter"" en latin. Ce nom viendrait d'un temple romain dédié à Jupiter, érigé sur l'actuel ""camp turc"", le nom a évolué ensuite en Montjoie, Jolimont puis enfin * *.",Jeumont,Saint-Omer,"Saint-Pol sur Ternoise",Cambrai,NULL,wikiextract
392,"le, un déterminant
* *  en chiffre romain
Lè peut faire référence à différents idéogrammes chinois écrits en hanyu pinyin :
Lè ,
Lè .
Lê peut faire référence à différentes dynasties :
Dynastie Lê antérieure,
Dynastie Lê postérieure.","Le Cateau",Arras,Cambrai,"Croix - Wasquehal",NULL,wikiextract
393,"* * est une commune du nord de la France, préfecture du département du Nord et chef-lieu en région Nord-Pas-de-Calais. Surnommée la « Capitale des Flandres », * * est, avec ses 227 560 habitants au dernier recensement de 2010, la principale ville, aux côtés de Roubaix, Tourcoing et Villeneuve-d'Ascq, de * * Métropole Communauté urbaine, intercommunalité qui regroupe 85 communes et compte environ 1,2 million d'habitants. Dans sa partie française, l'unité urbaine de * * est au quatrième rang en France par sa population, avec 1 015 744 habitants au 1er janvier 2010, derrière Paris, Marseille et Lyon, et son aire urbaine est la cinquième de France avec 1 158 306 habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin qui a donné naissance en janvier 2008 au premier Groupement européen de coopération territoriale, l'Eurométropole * * Kortrijk Tournai, qui totalise plus de 2 100","Lille Europe",Caudry,Tourcoing,"Rang du Fliers - Verton - Berck",NULL,wikiextract
394,"* * est une commune du nord de la France, préfecture du département du Nord et chef-lieu en région Nord-Pas-de-Calais. Surnommée la « Capitale des Flandres », * * est, avec ses 227 560 habitants au dernier recensement de 2010, la principale ville, aux côtés de Roubaix, Tourcoing et Villeneuve-d'Ascq, de * * Métropole Communauté urbaine, intercommunalité qui regroupe 85 communes et compte environ 1,2 million d'habitants. Dans sa partie française, l'unité urbaine de * * est au quatrième rang en France par sa population, avec 1 015 744 habitants au 1er janvier 2010, derrière Paris, Marseille et Lyon, et son aire urbaine est la cinquième de France avec 1 158 306 habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin qui a donné naissance en janvier 2008 au premier Groupement européen de coopération territoriale, l'Eurométropole * * Kortrijk Tournai, qui totalise plus de 2 100","Lille Flandres",Maubeuge,Tourcoing,Caudry,NULL,wikiextract
395,,Lens,Hazebrouk,Cambrai,"Etaples le Touquet",NULL,wikiextract
396,"* * est une commune française, située dans le département du Nord en région Nord-Pas-de-Calais.
Ses habitants sont appelés les * *ois.
Elle est la principale ville de l'unité urbaine de * * dans laquelle se trouve une partie de l'intercommunalité dénommée Agglomération * * Val de Sambre. Elle est également la principale commune de l'arrondissement d'Avesnes-sur-Helpe. Avec Lille et les villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants, appelé « aire métropolitaine de Lille ».",Maubeuge,Caudry,Arras,Busigny,NULL,wikiextract
397,"* * désigne généralement une suite d'éléments disposés en ligne dans le sens de la largeur, par opposition à file, dans le sens de la longueur.","Rang du Fliers - Verton - Berck",Lens,Busigny,Roubaix,NULL,wikiextract
398,"* * est une commune française située dans le département du Nord en région Nord-Pas-de-Calais. Elle est le chef-lieu de quatre cantons.
Avec une population d'un peu moins de cent mille habitants, * *, seconde ville du Nord - Pas de Calais, forme, aux côtés de Lille, Tourcoing, Villeneuve-d'Ascq et 81 autres communes la Communauté urbaine de Lille Métropole, intercommunalité qui compte environ 1,1 million d'habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin, qui a donné naissance en janvier 2008 au premier groupement européen de coopération territoriale, l'Eurométropole Lille-Kortrijk-Tournai, qui totalise près de deux millions d’habitants.
Reconnue ville d'art et d'histoire, la ville demeure célèbre pour son patrimoine architectural et pour l'essor économique qu'elle a connu durant la Révolution industrielle au XIXe siècle, grâce à l’industrie textile, dont elle fut",Roubaix,Valenciennes,"Croix - Wasquehal","Calais Frethun",NULL,wikiextract
399,"REDIRECT Pol","Saint-Pol sur Ternoise","Lille Europe",Calais,Hazebrouk,NULL,wikiextract
400,"Audomar .",Saint-Omer,Lens,Maubeuge,"Rang du Fliers - Verton - Berck",NULL,wikiextract
401,"* * est une commune française située dans le département du Nord. Elle est le chef-lieu de trois cantons.
Avec une population d'un peu moins de cent mille habitants, limitrophe de la Belgique, * * forme une grande métropole avec ses deux partenaires, Lille et Roubaix, auxquelles on ajoute parfois Mouscron.
La ville demeure célèbre pour le prodigieux essor économique qu'elle a connu durant la Révolution industrielle au XIXe siècle, grâce au textile. Elle est surnommée « la cité du Broutteux ».",Tourcoing,Caudry,Arras,Dunkerque,NULL,wikiextract
402,"* * , fut aussi une ville industrielle et minière très prospère au XIXe siècle, la Compagnie des mines d'Anzin y a ouvert de nombreuses fosses. La plus connue est la fosse Dutemple dont le chevalement en béton armé existe encore.
Située au cœur d'une vaste conurbation qui s'étend jusqu'à la frontière avec la Belgique, * * forme la 4e unité urbaine de la région Nord-Pas-de-Calais et son aire urbaine est peuplée de 400 000 habitants. Avec Lille et les autres villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants",Valenciennes,Dunkerque,Cambrai,Maubeuge,NULL,wikiextract
